chr,source,id,start,end,.,strand,..,annotation,seqLen,geneName
chr4,refGene,transcript,133266045,133277790,.,-,.,gene_id Tmem222; transcript_id NM_025667;  gene_name Tmem222;,11745,Tmem222
chr1,refGene,transcript,90203980,90215722,.,+,.,gene_id Ackr3; transcript_id NM_001271607;  gene_name Ackr3;,11742,Ackr3
chr4,refGene,transcript,133661425,133673166,.,-,.,gene_id Pigv; transcript_id NM_001356466;  gene_name Pigv;,11741,Pigv
chr8,refGene,transcript,13550722,13562461,.,-,.,gene_id 1700029H14Rik; transcript_id NM_025601;  gene_name 1700029H14Rik;,11739,1700029H14Rik
chr2,refGene,transcript,167481136,167492874,.,-,.,gene_id Spata2; transcript_id NM_001356523;  gene_name Spata2;,11738,Spata2
chrX,refGene,transcript,75404846,75416584,.,-,.,gene_id Cmc4; transcript_id NM_010839;  gene_name Cmc4;,11738,Cmc4
chr16,refGene,transcript,92301303,92313041,.,+,.,gene_id Smim11; transcript_id NM_138743;  gene_name Smim11;,11738,Smim11
chr5,refGene,transcript,135778649,135790386,.,+,.,gene_id Mdh2; transcript_id NM_008617;  gene_name Mdh2;,11737,Mdh2
chr4,refGene,transcript,98923810,98935542,.,+,.,gene_id Usp1; transcript_id NM_001301414;  gene_name Usp1;,11732,Usp1
chr4,refGene,transcript,98726754,98738486,.,+,.,gene_id L1td1; transcript_id NM_001081202;  gene_name L1td1;,11732,L1td1
chr7,refGene,transcript,126491708,126503437,.,-,.,gene_id Atxn2l; transcript_id NM_183020;  gene_name Atxn2l;,11729,Atxn2l
chr8,refGene,transcript,83715177,83726904,.,+,.,gene_id Ddx39; transcript_id NR_156447;  gene_name Ddx39;,11727,Ddx39
chr11,refGene,transcript,3309000,3320722,.,+,.,gene_id Gm11944; transcript_id NR_045708;  gene_name Gm11944;,11722,Gm11944
chr8,refGene,transcript,53511702,53523422,.,+,.,gene_id Aga; transcript_id NM_001205054;  gene_name Aga;,11720,Aga
chr3,refGene,transcript,89234177,89245897,.,-,.,gene_id Trim46; transcript_id NM_183037;  gene_name Trim46;,11720,Trim46
chr3,refGene,transcript,95676201,95687917,.,-,.,gene_id Adamtsl4; transcript_id NM_001301705;  gene_name Adamtsl4;,11716,Adamtsl4
chrX,refGene,transcript,152004580,152016295,.,-,.,gene_id Ribc1; transcript_id NM_025660;  gene_name Ribc1;,11715,Ribc1
chr6,refGene,transcript,136828843,136840557,.,+,.,gene_id BC049715; transcript_id NM_178776;  gene_name BC049715;,11714,BC049715
chr2,refGene,transcript,152911352,152923065,.,+,.,gene_id Mylk2; transcript_id NM_001081044;  gene_name Mylk2;,11713,Mylk2
chr11,refGene,transcript,28681564,28693276,.,+,.,gene_id 2810471M01Rik; transcript_id NR_045906;  gene_name 2810471M01Rik;,11712,2810471M01Rik
chr9,refGene,transcript,121760033,121771742,.,+,.,gene_id Zfp651; transcript_id NM_001166644;  gene_name Zfp651;,11709,Zfp651
chr15,refGene,transcript,99702287,99713995,.,+,.,gene_id Smarcd1; transcript_id NM_031842;  gene_name Smarcd1;,11708,Smarcd1
chr6,refGene,transcript,113471455,113483163,.,+,.,gene_id Il17rc; transcript_id NM_178942;  gene_name Il17rc;,11708,Il17rc
chr17,refGene,transcript,32412461,32424167,.,-,.,gene_id Pglyrp2; transcript_id NM_001271476;  gene_name Pglyrp2;,11706,Pglyrp2
chr11,refGene,transcript,99798186,99809892,.,-,.,gene_id Gm11554; transcript_id NM_001099313;  gene_name Gm11554;,11706,Gm11554
chr3,refGene,transcript,90051636,90063341,.,+,.,gene_id 4933434E20Rik; transcript_id NM_001287087;  gene_name 4933434E20Rik;,11705,4933434E20Rik
chr5,refGene,transcript,112326369,112338073,.,+,.,gene_id Tfip11; transcript_id NM_018783;  gene_name Tfip11;,11704,Tfip11
chr3,refGene,transcript,87736923,87748623,.,-,.,gene_id Lrrc71; transcript_id NM_028971;  gene_name Lrrc71;,11700,Lrrc71
chr9,refGene,transcript,45042344,45054043,.,+,.,gene_id Mpzl2; transcript_id NM_001357727;  gene_name Mpzl2;,11699,Mpzl2
chr2,refGene,transcript,174415804,174427502,.,+,.,gene_id Nelfcd; transcript_id NM_020580;  gene_name Nelfcd;,11698,Nelfcd
chr10,refGene,transcript,127329882,127341579,.,-,.,gene_id Gli1; transcript_id NM_010296;  gene_name Gli1;,11697,Gli1
chr4,refGene,transcript,116807734,116819431,.,+,.,gene_id Mutyh; transcript_id NM_001159581;  gene_name Mutyh;,11697,Mutyh
chr14,refGene,transcript,33967070,33978764,.,-,.,gene_id Zfp488; transcript_id NM_001013777;  gene_name Zfp488;,11694,Zfp488
chr1,refGene,transcript,57406266,57417952,.,+,.,gene_id Maip1; transcript_id NM_001081181;  gene_name Maip1;,11686,Maip1
chr17,refGene,transcript,31647081,31658764,.,-,.,gene_id U2af1; transcript_id NM_001357907;  gene_name U2af1;,11683,U2af1
chr2,refGene,transcript,175275125,175286805,.,+,.,gene_id Gm14440; transcript_id NM_001199308;  gene_name Gm14440;,11680,Gm14440
chr11,refGene,transcript,119288363,119300043,.,-,.,gene_id Eif4a3; transcript_id NM_138669;  gene_name Eif4a3;,11680,Eif4a3
chr8,refGene,transcript,43129807,43141486,.,-,.,gene_id Triml1; transcript_id NM_177742;  gene_name Triml1;,11679,Triml1
chr13,refGene,transcript,98263076,98274754,.,+,.,gene_id Ankra2; transcript_id NM_001271389;  gene_name Ankra2;,11678,Ankra2
chr8,refGene,transcript,57651753,57663430,.,+,.,gene_id AW046200; transcript_id NR_040698;  gene_name AW046200;,11677,AW046200
chr4,refGene,transcript,150237197,150248873,.,+,.,gene_id Eno1; transcript_id NM_023119;  gene_name Eno1;,11676,Eno1
chr3,refGene,transcript,94933083,94944758,.,+,.,gene_id Selenbp1; transcript_id NM_009150;  gene_name Selenbp1;,11675,Selenbp1
chr12,refGene,transcript,74284276,74295950,.,+,.,gene_id 1700086L19Rik; transcript_id NR_030735;  gene_name 1700086L19Rik;,11674,1700086L19Rik
chr11,refGene,transcript,97688823,97700497,.,-,.,gene_id Pcgf2; transcript_id NM_009545;  gene_name Pcgf2;,11674,Pcgf2
chr11,refGene,transcript,80810366,80822033,.,+,.,gene_id Tmem98; transcript_id NM_029537;  gene_name Tmem98;,11667,Tmem98
chr18,refGene,transcript,53406341,53418007,.,-,.,gene_id Ppic; transcript_id NM_008908;  gene_name Ppic;,11666,Ppic
chr3,refGene,transcript,89215180,89226841,.,+,.,gene_id Thbs3; transcript_id NM_013691;  gene_name Thbs3;,11661,Thbs3
chr9,refGene,transcript,108490676,108502337,.,+,.,gene_id Usp19; transcript_id NM_001168372;  gene_name Usp19;,11661,Usp19
chr5,refGene,transcript,95510742,95522402,.,+,.,gene_id Gm3286; transcript_id NM_001167792;  gene_name Gm3286;,11660,Gm3286
chr15,refGene,transcript,79030874,79042531,.,+,.,gene_id Gcat; transcript_id NM_001161712;  gene_name Gcat;,11657,Gcat
chr16,refGene,transcript,3847223,3858880,.,+,.,gene_id Zfp174; transcript_id NM_001081217;  gene_name Zfp174;,11657,Zfp174
chr11,refGene,transcript,71928471,71940122,.,-,.,gene_id 4930401O10Rik; transcript_id NR_045942;  gene_name 4930401O10Rik;,11651,4930401O10Rik
chr2,refGene,transcript,176289943,176301588,.,+,.,gene_id Gm14405; transcript_id NR_040256;  gene_name Gm14405;,11645,Gm14405
chr4,refGene,transcript,135975602,135987244,.,-,.,gene_id Pithd1; transcript_id NM_025411;  gene_name Pithd1;,11642,Pithd1
chrY,refGene,transcript,3367143,3378783,.,-,.,gene_id Gm21704; transcript_id NM_001270515_2;  gene_name Gm21704;,11640,Gm21704
chrY,refGene,transcript,3367143,3378783,.,-,.,gene_id Gm21677; transcript_id NM_001270513_3;  gene_name Gm21677;,11640,Gm21677
chr14,refGene,transcript,31217873,31229511,.,+,.,gene_id Sema3g; transcript_id NM_001025379;  gene_name Sema3g;,11638,Sema3g
chr7,refGene,transcript,19212538,19224176,.,+,.,gene_id Gpr4; transcript_id NM_175668;  gene_name Gpr4;,11638,Gpr4
chr4,refGene,transcript,141404357,141415988,.,-,.,gene_id Clcnkb; transcript_id NM_019701;  gene_name Clcnkb;,11631,Clcnkb
chr19,refGene,transcript,3958808,3970438,.,+,.,gene_id Aldh3b3; transcript_id NM_028545;  gene_name Aldh3b3;,11630,Aldh3b3
chr11,refGene,transcript,17257547,17269176,.,+,.,gene_id C1d; transcript_id NM_020558;  gene_name C1d;,11629,C1d
chr10,refGene,transcript,119320234,119331862,.,+,.,gene_id 4930477N07Rik; transcript_id NR_126085;  gene_name 4930477N07Rik;,11628,4930477N07Rik
chr16,refGene,transcript,75755191,75766818,.,-,.,gene_id Hspa13; transcript_id NM_030201;  gene_name Hspa13;,11627,Hspa13
chr7,refGene,transcript,18674366,18685992,.,-,.,gene_id Psg20; transcript_id NM_054058;  gene_name Psg20;,11626,Psg20
chr5,refGene,transcript,108268897,108280521,.,+,.,gene_id Dr1; transcript_id NM_026106;  gene_name Dr1;,11624,Dr1
chr17,refGene,transcript,34616662,34628279,.,-,.,gene_id Ppt2; transcript_id NM_001302393;  gene_name Ppt2;,11617,Ppt2
chr8,refGene,transcript,106415327,106426942,.,+,.,gene_id Zfp90; transcript_id NM_001368331;  gene_name Zfp90;,11615,Zfp90
chr1,refGene,transcript,134962565,134974179,.,+,.,gene_id Ube2t; transcript_id NM_026024;  gene_name Ube2t;,11614,Ube2t
chr11,refGene,transcript,83275112,83286726,.,-,.,gene_id Slfn14; transcript_id NM_001166028;  gene_name Slfn14;,11614,Slfn14
chr17,refGene,transcript,24443778,24455392,.,-,.,gene_id E4f1; transcript_id NM_001301784;  gene_name E4f1;,11614,E4f1
chr2,refGene,transcript,119017779,119029393,.,-,.,gene_id Ccdc32; transcript_id NM_199310;  gene_name Ccdc32;,11614,Ccdc32
chr5,refGene,transcript,72156576,72168189,.,-,.,gene_id Commd8; transcript_id NM_001356614;  gene_name Commd8;,11613,Commd8
chr3,refGene,transcript,113279837,113291449,.,-,.,gene_id Amy2a3; transcript_id NM_001160151;  gene_name Amy2a3;,11612,Amy2a3
chr7,refGene,transcript,79721164,79732776,.,-,.,gene_id Plin1; transcript_id NM_001113471;  gene_name Plin1;,11612,Plin1
chr3,refGene,transcript,113279837,113291449,.,-,.,gene_id Amy2a2; transcript_id NM_001160152_2;  gene_name Amy2a2;,11612,Amy2a2
chr3,refGene,transcript,113279837,113291449,.,-,.,gene_id Amy2a4; transcript_id NM_001160150;  gene_name Amy2a4;,11612,Amy2a4
chrX,refGene,transcript,7593809,7605420,.,-,.,gene_id Ccdc22; transcript_id NM_138603;  gene_name Ccdc22;,11611,Ccdc22
chr8,refGene,transcript,124740257,124751866,.,-,.,gene_id Fam89a; transcript_id NM_001081120;  gene_name Fam89a;,11609,Fam89a
chr18,refGene,transcript,46585928,46597535,.,-,.,gene_id Tmed7; transcript_id NM_025698;  gene_name Tmed7;,11607,Tmed7
chr4,refGene,transcript,156236010,156247616,.,+,.,gene_id Noc2l; transcript_id NM_021303;  gene_name Noc2l;,11606,Noc2l
chr4,refGene,transcript,152307023,152318625,.,-,.,gene_id Rnf207; transcript_id NM_001033489;  gene_name Rnf207;,11602,Rnf207
chr2,refGene,transcript,26581083,26592682,.,+,.,gene_id Egfl7; transcript_id NM_178444;  gene_name Egfl7;,11599,Egfl7
chrY,refGene,transcript,3771673,3783271,.,+,.,gene_id Rbmy; transcript_id NM_011253_4;  gene_name Rbmy;,11598,Rbmy
chrY,refGene,transcript,3771673,3783271,.,+,.,gene_id Gm3376; transcript_id NM_001270512;  gene_name Gm3376;,11598,Gm3376
chrY,refGene,transcript,3771673,3783271,.,+,.,gene_id Gm21708; transcript_id NM_001270516_4;  gene_name Gm21708;,11598,Gm21708
chr9,refGene,transcript,20652118,20663712,.,+,.,gene_id Pin1; transcript_id NM_023371;  gene_name Pin1;,11594,Pin1
chr14,refGene,transcript,99034544,99046136,.,-,.,gene_id Mzt1; transcript_id NM_175245;  gene_name Mzt1;,11592,Mzt1
chr1,refGene,transcript,21218575,21230167,.,+,.,gene_id Tmem14a; transcript_id NM_029398;  gene_name Tmem14a;,11592,Tmem14a
chr11,refGene,transcript,114922779,114934371,.,-,.,gene_id Cd300lb; transcript_id NM_001347651;  gene_name Cd300lb;,11592,Cd300lb
chr5,refGene,transcript,144545887,144557478,.,+,.,gene_id Nptx2; transcript_id NM_016789;  gene_name Nptx2;,11591,Nptx2
chr7,refGene,transcript,109712181,109723771,.,-,.,gene_id BC051019; transcript_id NM_001040700;  gene_name BC051019;,11590,BC051019
chr18,refGene,transcript,76930027,76941614,.,+,.,gene_id Ier3ip1; transcript_id NM_025409;  gene_name Ier3ip1;,11587,Ier3ip1
chr14,refGene,transcript,55478758,55490340,.,+,.,gene_id Dhrs4; transcript_id NM_001037938;  gene_name Dhrs4;,11582,Dhrs4
chr13,refGene,transcript,55714650,55726228,.,+,.,gene_id Txndc15; transcript_id NM_175150;  gene_name Txndc15;,11578,Txndc15
chr16,refGene,transcript,90738207,90749784,.,+,.,gene_id Mrap; transcript_id NM_029844;  gene_name Mrap;,11577,Mrap
chr1,refGene,transcript,191821473,191833049,.,+,.,gene_id Nek2; transcript_id NM_010892;  gene_name Nek2;,11576,Nek2
chr8,refGene,transcript,117681622,117693198,.,+,.,gene_id Gm38416; transcript_id NR_131057;  gene_name Gm38416;,11576,Gm38416
chr4,refGene,transcript,101647783,101659358,.,+,.,gene_id Leprot; transcript_id NM_175036;  gene_name Leprot;,11575,Leprot
chr9,refGene,transcript,106644534,106656109,.,-,.,gene_id Grm2; transcript_id NM_001160353;  gene_name Grm2;,11575,Grm2
chr1,refGene,transcript,164503307,164514882,.,+,.,gene_id Gm26685; transcript_id NR_151593;  gene_name Gm26685;,11575,Gm26685
chr6,refGene,transcript,83644542,83656116,.,-,.,gene_id Clec4f; transcript_id NM_016751;  gene_name Clec4f;,11574,Clec4f
chr6,refGene,transcript,129045901,129057471,.,+,.,gene_id Klrb1f; transcript_id NR_024262;  gene_name Klrb1f;,11570,Klrb1f
chr4,refGene,transcript,52989284,53000854,.,+,.,gene_id Nipsnap3a; transcript_id NM_028529;  gene_name Nipsnap3a;,11570,Nipsnap3a
chr1,refGene,transcript,135799421,135810989,.,+,.,gene_id Tnni1; transcript_id NM_021467;  gene_name Tnni1;,11568,Tnni1
chr9,refGene,transcript,107597674,107609241,.,-,.,gene_id Sema3b; transcript_id NM_001291539;  gene_name Sema3b;,11567,Sema3b
chr16,refGene,transcript,94358763,94370330,.,-,.,gene_id Pigp; transcript_id NM_001159620;  gene_name Pigp;,11567,Pigp
chr7,refGene,transcript,114264550,114276116,.,-,.,gene_id Psma1; transcript_id NM_011965;  gene_name Psma1;,11566,Psma1
chr2,refGene,transcript,32682609,32694175,.,-,.,gene_id Fpgs; transcript_id NM_010236;  gene_name Fpgs;,11566,Fpgs
chr10,refGene,transcript,3256208,3267771,.,-,.,gene_id H60c; transcript_id NM_001204916;  gene_name H60c;,11563,H60c
chr2,refGene,transcript,131186948,131198511,.,+,.,gene_id Cdc25b; transcript_id NM_001111075;  gene_name Cdc25b;,11563,Cdc25b
chr5,refGene,transcript,108797193,108808754,.,-,.,gene_id Vmn2r8; transcript_id NM_001104620;  gene_name Vmn2r8;,11561,Vmn2r8
chr2,refGene,transcript,127575533,127587094,.,-,.,gene_id Zfp661; transcript_id NM_001355622;  gene_name Zfp661;,11561,Zfp661
chr17,refGene,transcript,31844248,31855804,.,-,.,gene_id Sik1; transcript_id NM_010831;  gene_name Sik1;,11556,Sik1
chr7,refGene,transcript,30945248,30956803,.,-,.,gene_id Usf2; transcript_id NM_011680;  gene_name Usf2;,11555,Usf2
chr7,refGene,transcript,45627537,45639092,.,+,.,gene_id Rasip1; transcript_id NM_028544;  gene_name Rasip1;,11555,Rasip1
chr8,refGene,transcript,70905974,70917529,.,+,.,gene_id Map1s; transcript_id NM_173013;  gene_name Map1s;,11555,Map1s
chr1,refGene,transcript,165763758,165775309,.,+,.,gene_id Creg1; transcript_id NM_011804;  gene_name Creg1;,11551,Creg1
chr17,refGene,transcript,56278962,56290511,.,-,.,gene_id Plin3; transcript_id NM_025836;  gene_name Plin3;,11549,Plin3
chr2,refGene,transcript,71719417,71730966,.,+,.,gene_id Platr26; transcript_id NR_037979;  gene_name Platr26;,11549,Platr26
chr12,refGene,transcript,104127996,104139545,.,+,.,gene_id Serpina3b; transcript_id NM_173024;  gene_name Serpina3b;,11549,Serpina3b
chr2,refGene,transcript,178066878,178078425,.,-,.,gene_id Zfp931; transcript_id NM_001162922;  gene_name Zfp931;,11547,Zfp931
chr13,refGene,transcript,21442181,21453727,.,-,.,gene_id Zscan26; transcript_id NM_001347491;  gene_name Zscan26;,11546,Zscan26
chr11,refGene,transcript,60902246,60913792,.,-,.,gene_id Natd1; transcript_id NM_025294;  gene_name Natd1;,11546,Natd1
chr2,refGene,transcript,174427494,174439039,.,-,.,gene_id Ctsz; transcript_id NM_022325;  gene_name Ctsz;,11545,Ctsz
chr19,refGene,transcript,6829084,6840627,.,-,.,gene_id Rps6ka4; transcript_id NM_019924;  gene_name Rps6ka4;,11543,Rps6ka4
chr10,refGene,transcript,41519500,41531042,.,+,.,gene_id Cd164; transcript_id NM_016898;  gene_name Cd164;,11542,Cd164
chr19,refGene,transcript,8651796,8663335,.,-,.,gene_id 9830166K06Rik; transcript_id NR_045314;  gene_name 9830166K06Rik;,11539,9830166K06Rik
chr11,refGene,transcript,87863998,87875536,.,-,.,gene_id Epx; transcript_id NM_007946;  gene_name Epx;,11538,Epx
chr14,refGene,transcript,8080313,8091846,.,+,.,gene_id Htd2; transcript_id NM_001348727;  gene_name Htd2;,11533,Htd2
chr14,refGene,transcript,8080313,8091846,.,+,.,gene_id Rpp14; transcript_id NM_025938;  gene_name Rpp14;,11533,Rpp14
chr15,refGene,transcript,37421133,37432664,.,-,.,gene_id Gm15941; transcript_id NR_045283;  gene_name Gm15941;,11531,Gm15941
chr8,refGene,transcript,116981967,116993498,.,-,.,gene_id Gcsh; transcript_id NM_026572;  gene_name Gcsh;,11531,Gcsh
chr11,refGene,transcript,82980303,82991830,.,-,.,gene_id Slfn9; transcript_id NM_172796;  gene_name Slfn9;,11527,Slfn9
chr8,refGene,transcript,71384274,71395801,.,-,.,gene_id Ushbp1; transcript_id NM_181418;  gene_name Ushbp1;,11527,Ushbp1
chr5,refGene,transcript,120812635,120824160,.,+,.,gene_id Oas1b; transcript_id NR_003507;  gene_name Oas1b;,11525,Oas1b
chr2,refGene,transcript,150181755,150193279,.,+,.,gene_id Gm14139; transcript_id NM_001145863;  gene_name Gm14139;,11524,Gm14139
chr7,refGene,transcript,131560370,131571892,.,+,.,gene_id Bub3; transcript_id NM_009774;  gene_name Bub3;,11522,Bub3
chr1,refGene,transcript,162004969,162016485,.,+,.,gene_id 2810442N19Rik; transcript_id NR_040562;  gene_name 2810442N19Rik;,11516,2810442N19Rik
chr3,refGene,transcript,121723537,121735052,.,+,.,gene_id F3; transcript_id NM_010171;  gene_name F3;,11515,F3
chr11,refGene,transcript,69580359,69591873,.,+,.,gene_id Trp53; transcript_id NM_011640;  gene_name Trp53;,11514,Trp53
chr10,refGene,transcript,14759947,14771458,.,+,.,gene_id Nmbr; transcript_id NM_008703;  gene_name Nmbr;,11511,Nmbr
chr11,refGene,transcript,58379032,58390541,.,+,.,gene_id Lypd8; transcript_id NM_027339;  gene_name Lypd8;,11509,Lypd8
chr12,refGene,transcript,65062432,65073938,.,-,.,gene_id Fkbp3; transcript_id NM_013902;  gene_name Fkbp3;,11506,Fkbp3
chr5,refGene,transcript,88317312,88328817,.,+,.,gene_id Prol1; transcript_id NM_008644;  gene_name Prol1;,11505,Prol1
chr17,refGene,transcript,87254443,87265947,.,-,.,gene_id Mcfd2; transcript_id NM_139295;  gene_name Mcfd2;,11504,Mcfd2
chr8,refGene,transcript,95633559,95645059,.,+,.,gene_id Gins3; transcript_id NM_030198;  gene_name Gins3;,11500,Gins3
chr10,refGene,transcript,81366879,81378370,.,-,.,gene_id Fzr1; transcript_id NM_019757;  gene_name Fzr1;,11491,Fzr1
chr1,refGene,transcript,90958133,90969620,.,-,.,gene_id Rab17; transcript_id NM_008998;  gene_name Rab17;,11487,Rab17
chr3,refGene,transcript,98499080,98510567,.,-,.,gene_id Hsd3b4; transcript_id NM_008294;  gene_name Hsd3b4;,11487,Hsd3b4
chr3,refGene,transcript,89418551,89430029,.,+,.,gene_id Shc1; transcript_id NM_011368;  gene_name Shc1;,11478,Shc1
chr8,refGene,transcript,105984946,105996423,.,-,.,gene_id Dpep2; transcript_id NM_176913;  gene_name Dpep2;,11477,Dpep2
chr2,refGene,transcript,84811176,84822652,.,-,.,gene_id Smtnl1; transcript_id NM_024230;  gene_name Smtnl1;,11476,Smtnl1
chr4,refGene,transcript,73939371,73950846,.,-,.,gene_id 2310002L09Rik; transcript_id NM_027104;  gene_name 2310002L09Rik;,11475,2310002L09Rik
chr9,refGene,transcript,41206155,41217627,.,+,.,gene_id 1700063D05Rik; transcript_id NR_040392;  gene_name 1700063D05Rik;,11472,1700063D05Rik
chr11,refGene,transcript,106276672,106288143,.,+,.,gene_id Tcam1; transcript_id NM_029467;  gene_name Tcam1;,11471,Tcam1
chr5,refGene,transcript,120876142,120887613,.,-,.,gene_id Oas1g; transcript_id NR_126529;  gene_name Oas1g;,11471,Oas1g
chr12,refGene,transcript,16988648,17000118,.,-,.,gene_id Pqlc3; transcript_id NM_172574;  gene_name Pqlc3;,11470,Pqlc3
chr3,refGene,transcript,98499071,98510538,.,-,.,gene_id Gm10681; transcript_id NM_001270429_2;  gene_name Gm10681;,11467,Gm10681
chr17,refGene,transcript,34083843,34095309,.,-,.,gene_id BC051537; transcript_id NR_046183;  gene_name BC051537;,11466,BC051537
chr17,refGene,transcript,56162491,56173955,.,+,.,gene_id Tnfaip8l1; transcript_id NM_025566;  gene_name Tnfaip8l1;,11464,Tnfaip8l1
chr5,refGene,transcript,52607550,52619011,.,-,.,gene_id 8030423F21Rik; transcript_id NR_045738;  gene_name 8030423F21Rik;,11461,8030423F21Rik
chr6,refGene,transcript,124624625,124636085,.,-,.,gene_id C1s2; transcript_id NM_173864;  gene_name C1s2;,11460,C1s2
chr2,refGene,transcript,113285732,113297190,.,+,.,gene_id Tmco5b; transcript_id NM_029232;  gene_name Tmco5b;,11458,Tmco5b
chr18,refGene,transcript,38327537,38338993,.,-,.,gene_id Gnpda1; transcript_id NM_011937;  gene_name Gnpda1;,11456,Gnpda1
chr7,refGene,transcript,19345071,19356524,.,+,.,gene_id Ercc1; transcript_id NM_007948;  gene_name Ercc1;,11453,Ercc1
chr9,refGene,transcript,62270729,62282179,.,-,.,gene_id Spesp1; transcript_id NM_025721;  gene_name Spesp1;,11450,Spesp1
chr6,refGene,transcript,116506516,116517965,.,+,.,gene_id Olfr212; transcript_id NM_001011800;  gene_name Olfr212;,11449,Olfr212
chr6,refGene,transcript,129729041,129740484,.,-,.,gene_id Klri2; transcript_id NM_177155;  gene_name Klri2;,11443,Klri2
chr17,refGene,transcript,26781079,26792521,.,+,.,gene_id Bnip1; transcript_id NM_172149;  gene_name Bnip1;,11442,Bnip1
chr4,refGene,transcript,134343046,134354484,.,+,.,gene_id Slc30a2; transcript_id NM_001039677;  gene_name Slc30a2;,11438,Slc30a2
chr19,refGene,transcript,5549137,5560575,.,-,.,gene_id Ovol1; transcript_id NM_019935;  gene_name Ovol1;,11438,Ovol1
chr4,refGene,transcript,149485229,149496667,.,+,.,gene_id Lzic; transcript_id NM_001356322;  gene_name Lzic;,11438,Lzic
chr5,refGene,transcript,53267106,53278540,.,+,.,gene_id Smim20; transcript_id NM_001145433;  gene_name Smim20;,11434,Smim20
chr19,refGene,transcript,58670365,58681799,.,+,.,gene_id Pnlip; transcript_id NM_026925;  gene_name Pnlip;,11434,Pnlip
chr9,refGene,transcript,57130777,57142210,.,+,.,gene_id Man2c1; transcript_id NM_028636;  gene_name Man2c1;,11433,Man2c1
chr16,refGene,transcript,23146536,23157968,.,+,.,gene_id Adipoq; transcript_id NM_009605;  gene_name Adipoq;,11432,Adipoq
chr19,refGene,transcript,42074939,42086370,.,-,.,gene_id Morn4; transcript_id NM_198108;  gene_name Morn4;,11431,Morn4
chr18,refGene,transcript,36281105,36292535,.,+,.,gene_id Pura; transcript_id NM_008989;  gene_name Pura;,11430,Pura
chr5,refGene,transcript,35388861,35400285,.,+,.,gene_id Hmx1; transcript_id NM_001363144;  gene_name Hmx1;,11424,Hmx1
chr7,refGene,transcript,141060978,141072400,.,+,.,gene_id B4galnt4; transcript_id NM_177897;  gene_name B4galnt4;,11422,B4galnt4
chr14,refGene,transcript,54852737,54864158,.,-,.,gene_id Homez; transcript_id NM_001177705;  gene_name Homez;,11421,Homez
chr19,refGene,transcript,53379214,53390634,.,-,.,gene_id Smndc1; transcript_id NM_172429;  gene_name Smndc1;,11420,Smndc1
chr13,refGene,transcript,116298270,116309688,.,-,.,gene_id Isl1; transcript_id NM_021459;  gene_name Isl1;,11418,Isl1
chr19,refGene,transcript,33776037,33787452,.,-,.,gene_id Lipo1; transcript_id NM_001323065;  gene_name Lipo1;,11415,Lipo1
chr12,refGene,transcript,24651371,24662782,.,+,.,gene_id Klf11; transcript_id NM_178357;  gene_name Klf11;,11411,Klf11
chr11,refGene,transcript,99041244,99052655,.,+,.,gene_id Igfbp4; transcript_id NM_010517;  gene_name Igfbp4;,11411,Igfbp4
chr11,refGene,transcript,79023597,79035005,.,+,.,gene_id Gm11201; transcript_id NR_045873;  gene_name Gm11201;,11408,Gm11201
chr7,refGene,transcript,4504570,4515975,.,-,.,gene_id Tnnt1; transcript_id NM_001277904;  gene_name Tnnt1;,11405,Tnnt1
chr6,refGene,transcript,105481266,105492668,.,-,.,gene_id Gm19757; transcript_id NR_040297;  gene_name Gm19757;,11402,Gm19757
chr2,refGene,transcript,103377645,103389044,.,-,.,gene_id BC016548; transcript_id NR_130965;  gene_name BC016548;,11399,BC016548
chr13,refGene,transcript,99076528,99087921,.,-,.,gene_id 2310020H05Rik; transcript_id NR_045495;  gene_name 2310020H05Rik;,11393,2310020H05Rik
chr3,refGene,transcript,82892582,82903974,.,-,.,gene_id Lrat; transcript_id NM_023624;  gene_name Lrat;,11392,Lrat
chr14,refGene,transcript,64086280,64097672,.,+,.,gene_id Prss51; transcript_id NM_001347631;  gene_name Prss51;,11392,Prss51
chr7,refGene,transcript,116081762,116093149,.,-,.,gene_id 1700003G18Rik; transcript_id NR_029433;  gene_name 1700003G18Rik;,11387,1700003G18Rik
chr12,refGene,transcript,20804392,20815779,.,-,.,gene_id 1700030C10Rik; transcript_id NR_015521;  gene_name 1700030C10Rik;,11387,1700030C10Rik
chr11,refGene,transcript,99232761,99244147,.,-,.,gene_id Krt222; transcript_id NM_172946;  gene_name Krt222;,11386,Krt222
chr10,refGene,transcript,7667504,7678886,.,+,.,gene_id Nup43; transcript_id NM_145706;  gene_name Nup43;,11382,Nup43
chr7,refGene,transcript,28810890,28822266,.,+,.,gene_id Hnrnpl; transcript_id NM_177301;  gene_name Hnrnpl;,11376,Hnrnpl
chr6,refGene,transcript,47943175,47954549,.,+,.,gene_id Zfp783; transcript_id NR_027963;  gene_name Zfp783;,11374,Zfp783
chr2,refGene,transcript,180710226,180721599,.,+,.,gene_id Gid8; transcript_id NM_001289652;  gene_name Gid8;,11373,Gid8
chr7,refGene,transcript,82070387,82081758,.,+,.,gene_id Gm20744; transcript_id NR_045744;  gene_name Gm20744;,11371,Gm20744
chr9,refGene,transcript,21138541,21149906,.,-,.,gene_id Cdc37; transcript_id NM_016742;  gene_name Cdc37;,11365,Cdc37
